"gender","NationalITy","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","raisedhands","VisITedResources","AnnouncementsView","Discussion","ParentAnsweringSurvey","ParentschoolSatisfaction","StudentAbsenceDays","Class"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(10-20]\'","\'(10-20]\'","\'(0-10]\'","\'(10-20]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(10-20]\'","\'(20-30]\'","\'(0-10]\'","\'(20-30]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(20-30]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(20-30]\'","\'(20-30]\'","\'(0-10]\'","\'(30-40]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(30-40]\'","\'(50-60]\'","\'(10-20]\'","\'(40-50]\'","No","Bad","Above-7","M"
"F","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(40-50]\'","\'(30-40]\'","\'(10-20]\'","\'(70-80]\'","Yes","Bad","Above-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(30-40]\'","\'(10-20]\'","\'(0-10]\'","\'(10-20]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(40-50]\'","\'(10-20]\'","\'(10-20]\'","\'(20-30]\'","Yes","Good","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(10-20]\'","\'(20-30]\'","\'(10-20]\'","\'(40-50]\'","Yes","Good","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father","\'(60-70]\'","\'(80-90]\'","\'(20-30]\'","\'(70-80]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(40-50]\'","\'(80-90]\'","\'(30-40]\'","\'(80-90]\'","Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Math","F","Father","\'(10-20]\'","\'(0-10]\'","\'(10-20]\'","\'(10-20]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(10-20]\'","No","Bad","Above-7","L"
"M","lebanon","lebanon","MiddleSchool","G-08","A","Math","F","Father","\'(10-20]\'","\'(10-20]\'","\'(10-20]\'","\'(10-20]\'","No","Bad","Above-7","L"
"F","KW","KuwaIT","MiddleSchool","G-08","A","Math","F","Mum","\'(60-70]\'","\'(70-80]\'","\'(40-50]\'","\'(60-70]\'","No","Bad","Above-7","H"
"F","KW","KuwaIT","MiddleSchool","G-06","A","IT","F","Father","\'(20-30]\'","\'(40-50]\'","\'(20-30]\'","\'(60-70]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father","\'(30-40]\'","\'(30-40]\'","\'(20-30]\'","\'(80-90]\'","No","Bad","Above-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(50-60]\'","\'(10-20]\'","\'(30-40]\'","\'(90-100]\'","No","Bad","Above-7","M"
"F","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Mum","\'(60-70]\'","\'(10-20]\'","\'(30-40]\'","\'(90-100]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Mum","\'(60-70]\'","\'(50-60]\'","\'(40-50]\'","\'(90-100]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(50-60]\'","\'(60-70]\'","\'(30-40]\'","\'(90-100]\'","No","Bad","Above-7","M"
"F","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","\'(80-90]\'","No","Bad","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(10-20]\'","\'(20-30]\'","\'(0-10]\'","\'(90-100]\'","No","Bad","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(40-50]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(70-80]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(30-40]\'","\'(30-40]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father","\'(10-20]\'","\'(10-20]\'","\'(20-30]\'","\'(30-40]\'","Yes","Bad","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","F","Father","\'(20-30]\'","\'(10-20]\'","\'(10-20]\'","\'(30-40]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Science","F","Father","\'(70-80]\'","\'(80-90]\'","\'(50-60]\'","\'(40-50]\'","Yes","Good","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","F","Father","\'(20-30]\'","\'(90-100)\'","\'(30-40]\'","\'(30-40]\'","No","Bad","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","F","Father","\'(30-40]\'","\'(80-90]\'","\'(50-60]\'","\'(70-80]\'","Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(40-50]\'","\'(10-20]\'","Yes","Good","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-07","A","IT","F","Father","\'(0-10]\'","\'(10-20]\'","\'(10-20]\'","\'(40-50]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-05","A","English","F","Father","\'(0-10]\'","\'(20-30]\'","\'(0-10]\'","\'(30-40]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Science","F","Father","\'(10-20]\'","\'(10-20]\'","\'(0-10]\'","\'(30-40]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","English","F","Father","\'(0-10]\'","\'(10-20]\'","\'(10-20]\'","\'(20-30]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Science","F","Mum","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(20-30]\'","Yes","Good","Above-7","L"
"F","Egypt","Egypt","MiddleSchool","G-07","A","IT","F","Father","\'(40-50]\'","\'(50-60]\'","\'(20-30]\'","\'(90-100]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-06","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","No","Bad","Above-7","L"
"F","SaudiArabia","SaudiArabia","MiddleSchool","G-07","B","Science","F","Father","\'(40-50]\'","\'(90-100)\'","\'(30-40]\'","\'(70-80]\'","Yes","Good","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(10-20]\'","\'(10-20]\'","\'(0-10]\'","\'(70-80]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(10-20]\'","\'(20-30]\'","\'(10-20]\'","\'(40-50]\'","No","Good","Under-7","M"
"M","KW","KuwaIT","HighSchool","G-09","A","IT","F","Father","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","\'(30-40]\'","Yes","Good","Above-7","L"
"F","KW","KuwaIT","HighSchool","G-09","A","IT","F","Father","\'(20-30]\'","\'(30-40]\'","\'(20-30]\'","\'(90-100]\'","Yes","Good","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-09","A","IT","F","Father","\'(30-40]\'","\'(30-40]\'","\'(30-40]\'","\'(90-100]\'","No","Bad","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Quran","F","Father","\'(10-20]\'","\'(10-20]\'","\'(10-20]\'","\'(70-80]\'","No","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-05","A","English","F","Father","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","\'(20-30]\'","No","Bad","Above-7","L"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Mum","\'(60-70]\'","\'(0-10]\'","\'(30-40]\'","\'(90-100]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Mum","\'(10-20]\'","\'(80-90]\'","\'(40-50]\'","\'(80-90]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Father","\'(20-30]\'","\'(30-40]\'","\'(50-60]\'","\'(70-80]\'","Yes","Good","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Father","\'(10-20]\'","\'(10-20]\'","\'(10-20]\'","\'(70-80]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","HighSchool","G-12","A","English","F","Father","\'(30-40]\'","\'(10-20]\'","\'(10-20]\'","\'(40-50]\'","No","Good","Above-7","L"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Father","\'(50-60]\'","\'(90-100)\'","\'(10-20]\'","\'(30-40]\'","No","Bad","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-11","A","Science","F","Mum","\'(40-50]\'","\'(70-80]\'","\'(10-20]\'","\'(70-80]\'","Yes","Good","Under-7","H"
"M","KW","KuwaIT","HighSchool","G-12","A","English","F","Mum","\'(10-20]\'","\'(50-60]\'","\'(0-10]\'","\'(20-30]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(10-20]\'","\'(10-20]\'","\'(0-10]\'","\'(10-20]\'","Yes","Good","Above-7","L"
"M","USA","USA","MiddleSchool","G-08","B","Math","F","Father","\'(10-20]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(20-30]\'","\'(60-70]\'","\'(10-20]\'","\'(40-50]\'","Yes","Good","Under-7","M"
"F","USA","USA","MiddleSchool","G-07","A","Math","F","Father","\'(20-30]\'","\'(20-30]\'","\'(20-30]\'","\'(30-40]\'","No","Good","Under-7","M"
"F","Jordan","Jordan","lowerlevel","G-05","A","English","F","Mum","\'(20-30]\'","\'(10-20]\'","\'(20-30]\'","\'(10-20]\'","No","Good","Above-7","L"
"M","KW","KuwaIT","HighSchool","G-10","A","IT","F","Father","\'(40-50]\'","\'(70-80]\'","\'(30-40]\'","\'(30-40]\'","Yes","Good","Under-7","M"
"M","venzuela","venzuela","HighSchool","G-10","A","IT","F","Mum","\'(70-80]\'","\'(90-100)\'","\'(70-80]\'","\'(80-90]\'","Yes","Good","Under-7","H"
"M","KW","KuwaIT","HighSchool","G-10","A","IT","F","Father","\'(10-20]\'","\'(10-20]\'","\'(10-20]\'","\'(10-20]\'","Yes","Bad","Under-7","M"
"M","KW","KuwaIT","HighSchool","G-10","A","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","HighSchool","G-12","A","English","F","Father","\'(10-20]\'","\'(0-10]\'","\'(10-20]\'","\'(10-20]\'","No","Bad","Above-7","L"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Father","\'(20-30]\'","\'(10-20]\'","\'(10-20]\'","\'(20-30]\'","No","Bad","Above-7","M"
"F","USA","USA","HighSchool","G-12","A","English","F","Mum","\'(60-70]\'","\'(70-80]\'","\'(20-30]\'","\'(80-90]\'","Yes","Good","Under-7","H"
"F","USA","USA","HighSchool","G-12","A","IT","F","Mum","\'(60-70]\'","\'(60-70]\'","\'(30-40]\'","\'(20-30]\'","Yes","Good","Under-7","H"
"M","Jordan","Jordan","MiddleSchool","G-07","A","IT","F","Father","\'(30-40]\'","\'(40-50]\'","\'(10-20]\'","\'(30-40]\'","No","Bad","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-07","A","IT","F","Father","\'(20-30]\'","\'(30-40]\'","\'(10-20]\'","\'(10-20]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father","\'(20-30]\'","\'(20-30]\'","\'(0-10]\'","\'(10-20]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(10-20]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","No","Bad","Under-7","L"
"F","KW","KuwaIT","MiddleSchool","G-07","A","English","F","Father","\'(10-20]\'","\'(30-40]\'","\'(20-30]\'","\'(10-20]\'","Yes","Bad","Above-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father","\'(10-20]\'","\'(0-10]\'","\'(0-10]\'","\'(10-20]\'","No","Bad","Under-7","L"
"M","Jordan","Jordan","MiddleSchool","G-07","A","Quran","F","Mum","\'(40-50]\'","\'(90-100)\'","\'(20-30]\'","\'(60-70]\'","Yes","Good","Under-7","M"
"M","Iran","Iran","HighSchool","G-09","A","IT","F","Mum","\'(10-20]\'","\'(70-80]\'","\'(30-40]\'","\'(40-50]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","HighSchool","G-09","A","IT","F","Father","\'(10-20]\'","\'(80-90]\'","\'(30-40]\'","\'(30-40]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","HighSchool","G-11","A","Quran","F","Father","\'(10-20]\'","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","No","Bad","Above-7","L"
"F","lebanon","lebanon","MiddleSchool","G-07","B","Math","F","Mum","\'(70-80]\'","\'(90-100)\'","\'(40-50]\'","\'(50-60]\'","Yes","Bad","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father","\'(0-10]\'","\'(10-20]\'","\'(10-20]\'","\'(30-40]\'","Yes","Bad","Under-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","A","IT","F","Father","\'(0-10]\'","\'(20-30]\'","\'(0-10]\'","\'(70-80]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(80-90]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(10-20]\'","\'(40-50]\'","No","Good","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(40-50]\'","\'(70-80]\'","\'(50-60]\'","\'(0-10]\'","Yes","Good","Above-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(10-20]\'","No","Bad","Above-7","L"
"M","SaudiArabia","SaudiArabia","lowerlevel","G-02","B","IT","F","Father","\'(60-70]\'","\'(10-20]\'","\'(40-50]\'","\'(40-50]\'","Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(10-20]\'","\'(70-80]\'","\'(0-10]\'","\'(40-50]\'","No","Bad","Under-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","\'(30-40]\'","No","Bad","Under-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(20-30]\'","\'(0-10]\'","\'(40-50]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(10-20]\'","\'(60-70]\'","Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(70-80]\'","\'(90-100)\'","\'(50-60]\'","\'(10-20]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(40-50]\'","\'(70-80]\'","\'(10-20]\'","\'(10-20]\'","Yes","Good","Under-7","H"
"M","USA","USA","lowerlevel","G-02","B","IT","F","Father","\'(50-60]\'","\'(80-90]\'","\'(40-50]\'","\'(30-40]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(70-80]\'","\'(40-50]\'","\'(30-40]\'","\'(0-10]\'","No","Good","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(90-inf)\'","\'(80-90]\'","\'(0-10]\'","\'(70-80]\'","No","Bad","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father","\'(10-20]\'","\'(60-70]\'","\'(10-20]\'","\'(70-80]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(30-40]\'","\'(10-20]\'","No","Bad","Under-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(20-30]\'","No","Bad","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(40-50]\'","\'(0-10]\'","\'(0-10]\'","\'(40-50]\'","Yes","Bad","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(40-50]\'","\'(90-100)\'","\'(40-50]\'","\'(90-100]\'","Yes","Bad","Under-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Mum","\'(60-70]\'","\'(90-100)\'","\'(50-60]\'","\'(0-10]\'","Yes","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","\'(0-10]\'","Yes","Good","Above-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(80-90]\'","Yes","Good","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(10-20]\'","\'(20-30]\'","\'(0-10]\'","\'(30-40]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(60-70]\'","\'(90-100)\'","\'(40-50]\'","\'(30-40]\'","Yes","Bad","Under-7","H"
"M","SaudiArabia","SaudiArabia","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(10-20]\'","\'(0-10]\'","\'(0-10]\'","No","Bad","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(80-90]\'","\'(70-80]\'","\'(30-40]\'","\'(10-20]\'","No","Bad","Under-7","M"
"F","Jordan","Jordan","lowerlevel","G-02","B","IT","F","Mum","\'(60-70]\'","\'(80-90]\'","\'(50-60]\'","\'(30-40]\'","Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father","\'(70-80]\'","\'(80-90]\'","\'(50-60]\'","\'(80-90]\'","No","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(40-50]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(20-30]\'","\'(20-30]\'","\'(0-10]\'","\'(60-70]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(10-20]\'","\'(0-10]\'","\'(0-10]\'","\'(40-50]\'","No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father","\'(0-10]\'","\'(0-10]\'","\'(10-20]\'","\'(70-80]\'","Yes","Good","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Mum","\'(70-80]\'","\'(80-90]\'","\'(10-20]\'","\'(10-20]\'","Yes","Good","Above-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Mum","\'(20-30]\'","\'(20-30]\'","\'(40-50]\'","\'(10-20]\'","No","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Mum","\'(20-30]\'","\'(30-40]\'","\'(20-30]\'","\'(20-30]\'","Yes","Good","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father","\'(50-60]\'","\'(60-70]\'","\'(0-10]\'","\'(60-70]\'","No","Bad","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Mum","\'(20-30]\'","\'(10-20]\'","\'(0-10]\'","\'(40-50]\'","Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Mum","\'(0-10]\'","\'(0-10]\'","\'(0-10]\'","\'(20-30]\'","No","Bad","Above-7","L"
